run,rename,path
SRR12744924,dmau_120h_B,/ATACseq/dmau
SRR12744929,dmau_72h,/ATACseq/dmau
SRR12744928,dmau_96h_A,/ATACseq/dmau
SRR12744927,dmau_96h_B,/ATACseq/dmau
SRR12744925,dmau_120h_A,/ATACseq/dmau
SRR12744930,dmel_120h_A,/ATACseq/dmel
SRR12744931,dmel_120h_A,/ATACseq/dmel
SRR12744932,dmel_96h_B,/ATACseq/dmel
SRR12744933,dmel_96h_A,/ATACseq/dmel
SRR12744934,dmel_72h,/ATACseq/dmel
SRR12744938,dmau_72h_A,/RNAseq/dmau
SRR12744937,dmau_72h_B,/RNAseq/dmau
SRR12744926,dmau_72h_C,/RNAseq/dmau
SRR12744918,dmau_96h_A,/RNAseq/dmau
SRR12744917,dmau_96h_B,/RNAseq/dmau
SRR12744916,dmau_96h_C,/RNAseq/dmau
SRR3045227,dmau_120h_A,/RNAseq/dmau
SRR3045226,dmau_120h_B,/RNAseq/dmau
SRR3045225,dmau_120h_C,/RNAseq/dmau
SRR5259210,dmel_72h_A,/RNAseq/dmel
SRR5259209,dmel_72h_B,/RNAseq/dmel
SRR5259207,dmel_72h_C,/RNAseq/dmel
SRR5259215,dmel_96h_A,/RNAseq/dmel
SRR5259213,dmel_96h_B,/RNAseq/dmel
SRR5259212,dmel_96h_C,/RNAseq/dmel
SRR5259218,dmel_120h_A,/RNAseq/dmel
SRR5259217,dmel_120h_B,/RNAseq/dmel
SRR5259216,dmel_120h_C,/RNAseq/dmel